Bridge_ID,Age (years),Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Bridge_Design,Humidity (%),Risk_Level
1,26,50,5,10,100,Rainy,0,0,0,200,0,Arch,0,Low
2,47,50.1950195,5.00450045,10.0090009,100.990099,Sunny,0.500050005,0.010001,0.0010001,200.080008,0.050005001,Beam,0.010001,Low
3,1,50.390039,5.0090009,10.0180018,101.980198,Snowy,1.00010001,0.020002,0.0020002,200.160016,0.100010001,Truss,0.020002,Low
4,32,50.58505851,5.01350135,10.0270027,102.970297,Cloudy,1.500150015,0.030003,0.0030003,200.240024,0.150015002,Arch,0.030003,Low
5,27,50.78007801,5.0180018,10.0360036,103.960396,Windy,2.00020002,0.040004,0.0040004,200.320032,0.200020002,Beam,0.040004,Low
6,16,50.97509751,5.02250225,10.0450045,104.950495,Rainy,2.500250025,0.050005001,0.0050005,200.40004,0.250025003,Truss,0.050005001,Low
7,46,51.17011701,5.0270027,10.0540054,105.9405941,Sunny,3.00030003,0.060006001,0.0060006,200.480048,0.300030003,Arch,0.060006001,Low
8,28,51.36513651,5.03150315,10.0630063,106.9306931,Snowy,3.500350035,0.070007001,0.0070007,200.560056,0.350035004,Beam,0.070007001,Low
9,17,51.56015602,5.0360036,10.0720072,107.9207921,Cloudy,4.00040004,0.080008001,0.0080008,200.640064,0.400040004,Truss,0.080008001,Low
10,9,51.75517552,5.04050405,10.0810081,108.9108911,Windy,4.500450045,0.090009001,0.0090009,200.720072,0.450045005,Arch,0.090009001,Low
11,8,51.95019502,5.0450045,10.090009,109.9009901,Rainy,5.00050005,0.100010001,0.010001,200.80008,0.500050005,Beam,0.100010001,Low
12,1,52.14521452,5.04950495,10.0990099,110.8910891,Sunny,5.500550055,0.110011001,0.0110011,200.880088,0.550055006,Truss,0.110011001,Low
13,39,52.34023402,5.054005401,10.1080108,111.8811881,Snowy,6.00060006,0.120012001,0.0120012,200.960096,0.600060006,Arch,0.120012001,Low
14,22,52.53525353,5.058505851,10.1170117,112.8712871,Cloudy,6.500650065,0.130013001,0.0130013,201.040104,0.650065007,Beam,0.130013001,Low
15,9,52.73027303,5.063006301,10.1260126,113.8613861,Windy,7.00070007,0.140014001,0.0140014,201.120112,0.700070007,Truss,0.140014001,Low
16,5,52.92529253,5.067506751,10.1350135,114.8514851,Rainy,7.500750075,0.150015002,0.0150015,201.20012,0.750075008,Arch,0.150015002,Low
17,0,53.12031203,5.072007201,10.1440144,115.8415842,Sunny,8.00080008,0.160016002,0.0160016,201.280128,0.800080008,Beam,0.160016002,Low
18,27,53.31533153,5.076507651,10.1530153,116.8316832,Snowy,8.500850085,0.170017002,0.0170017,201.360136,0.850085009,Truss,0.170017002,Low
19,23,53.51035104,5.081008101,10.1620162,117.8217822,Cloudy,9.00090009,0.180018002,0.0180018,201.440144,0.900090009,Arch,0.180018002,Low
20,44,53.70537054,5.085508551,10.1710171,118.8118812,Windy,9.500950095,0.190019002,0.0190019,201.520152,0.95009501,Beam,0.190019002,Low
21,36,53.90039004,5.090009001,10.180018,119.8019802,Rainy,10.0010001,0.200020002,0.020002,201.60016,1.00010001,Truss,0.200020002,Low
22,42,54.09540954,5.094509451,10.1890189,120.7920792,Sunny,10.50105011,0.210021002,0.0210021,201.680168,1.050105011,Arch,0.210021002,Low
23,30,54.29042904,5.099009901,10.1980198,121.7821782,Snowy,11.00110011,0.220022002,0.0220022,201.760176,1.100110011,Beam,0.220022002,Low
24,43,54.48544854,5.103510351,10.2070207,122.7722772,Cloudy,11.50115012,0.230023002,0.0230023,201.840184,1.150115012,Truss,0.230023002,Low
25,41,54.68046805,5.108010801,10.2160216,123.7623762,Windy,12.00120012,0.240024002,0.0240024,201.920192,1.200120012,Arch,0.240024002,Low
26,41,54.87548755,5.112511251,10.2250225,124.7524752,Rainy,12.50125013,0.250025003,0.0250025,202.0002,1.250125013,Beam,0.250025003,Low
27,13,55.07050705,5.117011701,10.2340234,125.7425743,Sunny,13.00130013,0.260026003,0.0260026,202.080208,1.300130013,Truss,0.260026003,Low
28,7,55.26552655,5.121512151,10.2430243,126.7326733,Snowy,13.50135014,0.270027003,0.0270027,202.160216,1.350135014,Arch,0.270027003,Low
29,6,55.46054605,5.126012601,10.2520252,127.7227723,Cloudy,14.00140014,0.280028003,0.0280028,202.240224,1.400140014,Beam,0.280028003,Low
30,43,55.65556556,5.130513051,10.2610261,128.7128713,Windy,14.50145015,0.290029003,0.0290029,202.320232,1.450145015,Truss,0.290029003,Low
31,2,55.85058506,5.135013501,10.270027,129.7029703,Rainy,15.00150015,0.300030003,0.030003,202.40024,1.500150015,Arch,0.300030003,Low
32,26,56.04560456,5.139513951,10.2790279,130.6930693,Sunny,15.50155016,0.310031003,0.0310031,202.480248,1.550155016,Beam,0.310031003,Low
33,4,56.24062406,5.144014401,10.2880288,131.6831683,Snowy,16.00160016,0.320032003,0.0320032,202.560256,1.600160016,Truss,0.320032003,Low
